,precision,recall,f1-score,support
Real,0.9898180471807891,0.9835234140957586,0.9866606912187278,38054.0
Fake,0.9836386409895099,0.9898897058823529,0.9867542734483391,38080.0
accuracy,0.9867076470433709,0.9867076470433709,0.9867076470433709,0.9867076470433709
macro avg,0.9867283440851495,0.9867065599890558,0.9867074823335334,76134.0
weighted avg,0.9867272889418433,0.9867076470433709,0.986707498312846,76134.0
